"CATNO","COMNO","CATNAME","TYPE","COM","COM2","COM3","HUDNAME","UINAME","PKG","TARGET","IHEAD","IBODY","URI","MIME","CATE","FLAG","EX","EXTRA","ENGINE"
1,1,"Samsung Utilities","NA","files",,"P","My Files","My Files","com.sec.android.app.myfiles",".ui.MainActivity",,,,,,,,,
1,2,"Samsung Utilities","NA","clock",,"P","Samsung Clock","Clock","com.sec.android.app.clockpackage",".ClockPackage",,,,,,,,,
1,3,"Samsung Utilities","NA","calen",,"P","Samsung Calendar","Calendar","com.samsung.android.calendar",".activity.MainActivity",,,,,,,,,
1,4,"Samsung Utilities","NA","calc",,"P","Calculator","Calculator","com.sec.android.app.popupcalculator",".Calculator",,,,,,,,,
1,5,"Samsung Utilities","NA","smshop",,"P","Galaxy Store","Galaxy Store","com.sec.android.app.samsungapps",".SamsungAppsMainActivity",,,,,,,,,
1,6,"Samsung Utilities","NA","wther",,"P","Samsung Weather","Weather","com.sec.android.daemonapp",".app.MainActivity",,,,,,,,,
1,7,"Samsung Utilities","NA","vrec",,"P","Voice Recorder","Voice Recorder","com.sec.android.app.voicenote",".main.MainActivity",,,,,,,,,
2,1,"Samsung Life","NA","hlth",,"P","Samsung Health","Samsung Health","com.sec.android.app.shealth",".home.HomeMainActivity",,,,,,,,,
2,2,"Samsung Life","NA","smpay",,"P","Samsung Wallet (Pay)","Samsung Wallet","com.samsung.android.spay",".ui.SpayMainActivity",,,,,,,,,
2,3,"Samsung Life","NA","mem",,"P","Samsung Members","Members","com.samsung.android.voc",".LauncherActivity",,,,,,,,,
3,1,"Samsung Media","NA","mda",,"P","Samsung Gallery","Gallery","com.sec.android.gallery3d","com.samsung.android.gallery.app.activity.GalleryActivity",,,,,,,,,
3,2,"Samsung Media","NA","vdo",,"P","Samsung Video Player","Video Player","com.samsung.android.video",".player.activity.MoviePlayer",,,,,,,,,
3,3,"Samsung Media","NA","msc",,"P","Samsung Music","Samsung Music","com.sec.android.app.music",".common.activity.MusicMainActivity",,,,,,,,,
3,4,"Samsung Media","NA","news",,"P","Samsung News","Samsung News","com.samsung.android.app.spage",".main.LauncherActivity",,,,,,,,,
3,5,"Samsung Media","NA","gming",,"P","Samsung Gaming Hub","Gaming Hub","com.samsung.android.game.gamehome",".app.MainActivity",,,,,,,,,
4,1,"Samsung Devices","NA","smts",,"P","SmartThings","SmartThings","com.samsung.android.oneconnect",".ui.SCMainActivity",,,,,,,,,
4,2,"Samsung Devices","NA","wear",,"P","Galaxy Wearable","Galaxy Wearable","com.samsung.android.app.watchmanager",".setupwizard.SetupWizardWelcomeActivity",,,,,,,,,
4,3,"Samsung Devices","NA","tutor",,"P","Smart Tutor (Remote Support)","Smart Tutor","com.rsupport.rs.activity.rsupport.aas2","com.rsupport.rs.activity.edit.IntroActivity",,,,,,,,,
5,1,"Samsung Tools","NA","note",,"P","Samsung Notes","Samsung Notes","com.samsung.android.app.notes",".memolist.MemoListActivity",,,,,,,,,
5,1,"Samsung Tools","NA","remind",,"P","Samsung Reminder","Reminder","com.samsung.android.app.reminder",".ui.LaunchMainActivity",,,,,,,,,
